Année,Juridiction,Origine,Superficie (en hectare),Nombre
2001,Île-du-Prince-Édouard,Foudre,0,0
2001,Île-du-Prince-Édouard,Indéterminée,16,14
2002,Île-du-Prince-Édouard,Activité humaine,132,26
2002,Île-du-Prince-Édouard,Foudre,0,0
2002,Île-du-Prince-Édouard,Indéterminée,0,3
2003,Île-du-Prince-Édouard,Activité humaine,11,13
2003,Île-du-Prince-Édouard,Foudre,0,0
2003,Île-du-Prince-Édouard,Indéterminée,1,1
2004,Île-du-Prince-Édouard,Activité humaine,13,18
2004,Île-du-Prince-Édouard,Foudre,0,0
2004,Île-du-Prince-Édouard,Indéterminée,2,2
2005,Île-du-Prince-Édouard,Activité humaine,44,11
2005,Île-du-Prince-Édouard,Foudre,0,0
2005,Île-du-Prince-Édouard,Indéterminée,6,2
2006,Île-du-Prince-Édouard,Activité humaine,48,35
2006,Île-du-Prince-Édouard,Foudre,0,0
2006,Île-du-Prince-Édouard,Indéterminée,3,1
2007,Île-du-Prince-Édouard,Activité humaine,18,8
2007,Île-du-Prince-Édouard,Foudre,0,0
2007,Île-du-Prince-Édouard,Indéterminée,1,1
2008,Île-du-Prince-Édouard,Activité humaine,4,5
2008,Île-du-Prince-Édouard,Foudre,0,0
2008,Île-du-Prince-Édouard,Indéterminée,1,1
2009,Île-du-Prince-Édouard,Activité humaine,3,7
2009,Île-du-Prince-Édouard,Foudre,0,0
2009,Île-du-Prince-Édouard,Indéterminée,0,1
2010,Île-du-Prince-Édouard,Activité humaine,5,4
2010,Île-du-Prince-Édouard,Foudre,0,0
2010,Île-du-Prince-Édouard,Indéterminée,0,0
2011,Île-du-Prince-Édouard,Activité humaine,5,3
2011,Île-du-Prince-Édouard,Foudre,0,0
2011,Île-du-Prince-Édouard,Indéterminée,1,1
2012,Île-du-Prince-Édouard,Activité humaine,11,7
2012,Île-du-Prince-Édouard,Foudre,0,0
2012,Île-du-Prince-Édouard,Indéterminée,1,1
2013,Île-du-Prince-Édouard,Activité humaine,76,9
2013,Île-du-Prince-Édouard,Foudre,0,0
2013,Île-du-Prince-Édouard,Indéterminée,5,2
2014,Île-du-Prince-Édouard,Activité humaine,3,4
2014,Île-du-Prince-Édouard,Foudre,0,0
2014,Île-du-Prince-Édouard,Indéterminée,0,0
2015,Île-du-Prince-Édouard,Activité humaine,3,5
2015,Île-du-Prince-Édouard,Foudre,0,0
2015,Île-du-Prince-Édouard,Indéterminée,0,0
2016,Île-du-Prince-Édouard,Activité humaine,33,8
2016,Île-du-Prince-Édouard,Foudre,0,0
2016,Île-du-Prince-Édouard,Indéterminée,0,0
2017,Île-du-Prince-Édouard,Activité humaine,0,4
2017,Île-du-Prince-Édouard,Foudre,0,0
2017,Île-du-Prince-Édouard,Indéterminée,7,0
2018,Île-du-Prince-Édouard,Activité humaine,0,0
2018,Île-du-Prince-Édouard,Foudre,0,0
2018,Île-du-Prince-Édouard,Indéterminée,0,0
2019,Île-du-Prince-Édouard,Activité humaine,0,0
2019,Île-du-Prince-Édouard,Foudre,0,0
2019,Île-du-Prince-Édouard,Indéterminée,0,0
2020,Île-du-Prince-Édouard,Activité humaine,0,0
2020,Île-du-Prince-Édouard,Foudre,0,0
2020,Île-du-Prince-Édouard,Indéterminée,0,0
2021,Île-du-Prince-Édouard,Activité humaine,0,0
2021,Île-du-Prince-Édouard,Foudre,0,0
2021,Île-du-Prince-Édouard,Indéterminée,0,0
2022,Île-du-Prince-Édouard,Activité humaine,0,0
2022,Île-du-Prince-Édouard,Foudre,0,0
2022,Île-du-Prince-Édouard,Indéterminée,0,0
2023,Île-du-Prince-Édouard,Indéterminée,8,8
2000,Québec,Activité humaine,673,412
2000,Québec,Foudre,38536,105
2001,Québec,Activité humaine,5901,740
2001,Québec,Foudre,27191,265
2002,Québec,Activité humaine,5943,572
2002,Québec,Foudre,1007807,327
2003,Québec,Activité humaine,9783,526
2003,Québec,Foudre,78462,194
2004,Québec,Activité humaine,816,280
2004,Québec,Foudre,2242,42
2005,Québec,Activité humaine,33370,550
2005,Québec,Foudre,766771,825
2006,Québec,Activité humaine,65212,385
2006,Québec,Foudre,71141,299
2007,Québec,Activité humaine,120758,510
2007,Québec,Foudre,221957,429
2008,Québec,Activité humaine,148,188
2008,Québec,Foudre,1333,34
2008,Québec,Brûlage dirigé,115,1
2009,Québec,Activité humaine,2246,338
2009,Québec,Foudre,91725,145
2009,Québec,Brûlage dirigé,29,2
2010,Québec,Activité humaine,36000,497
2010,Québec,Foudre,278884,242
2010,Québec,Brûlage dirigé,30,1
2011,Québec,Activité humaine,2273,232
2011,Québec,Foudre,10125,98
2011,Québec,Brûlage dirigé,1,1
2012,Québec,Activité humaine,24782,522
2012,Québec,Foudre,39261,274
2012,Québec,Brûlage dirigé,1,2
2013,Québec,Activité humaine,17131,377
2013,Québec,Foudre,1855712,151
2014,Québec,Activité humaine,8417,225
2014,Québec,Foudre,55304,68
2014,Québec,Brûlage dirigé,182,3
2015,Québec,Activité humaine,1461,340
2015,Québec,Foudre,3919,46
2015,Québec,Brûlage dirigé,778,6
2016,Québec,Activité humaine,334,433
2016,Québec,Foudre,33036,171
2016,Québec,Brûlage dirigé,563,3
2017,Québec,Activité humaine,1693,236
2017,Québec,Foudre,36699,83
2017,Québec,Brûlage dirigé,53,3
2018,Québec,Activité humaine,15772,400
2018,Québec,Foudre,70489,194
2018,Québec,Brûlage dirigé,55,2
2018,Québec,Indéterminée,1,1
2019,Québec,Activité humaine,5087,276
2019,Québec,Foudre,4517,81
2019,Québec,Brûlage dirigé,89,5
2020,Québec,Activité humaine,52090,572
2020,Québec,Foudre,7897,138
2020,Québec,Brûlage dirigé,15,2
2021,Québec,Activité humaine,1113,517
2021,Québec,Foudre,48370,109
2021,Québec,Brûlage dirigé,220,2
2021,Québec,Indéterminée,4,1
2022,Québec,Activité humaine,19246,413
2022,Québec,Cause naturelle,10393,39
2022,Québec,Brûlage dirigé,76,1
2023,Québec,Indéterminée,4322888,713
2000,Saskatchewan,Activité humaine,10795,240
2000,Saskatchewan,Foudre,130628,182
2001,Saskatchewan,Activité humaine,39409,547
2001,Saskatchewan,Foudre,165725,328
2002,Saskatchewan,Activité humaine,101682,447
2002,Saskatchewan,Foudre,780975,450
2003,Saskatchewan,Activité humaine,12884,299
2003,Saskatchewan,Foudre,113205,359
2004,Saskatchewan,Activité humaine,7407,166
2004,Saskatchewan,Foudre,250726,165
2004,Saskatchewan,Indéterminée,5,1
2005,Saskatchewan,Activité humaine,9333,137
2005,Saskatchewan,Foudre,205584,199
2005,Saskatchewan,Indéterminée,1,2
2006,Saskatchewan,Activité humaine,182546,173
2006,Saskatchewan,Foudre,1025561,349
2006,Saskatchewan,Indéterminée,328,3
2007,Saskatchewan,Activité humaine,4768,239
2007,Saskatchewan,Foudre,208305,135
2008,Saskatchewan,Activité humaine,31062,319
2008,Saskatchewan,Foudre,1099182,285
2008,Saskatchewan,Brûlage dirigé,76,6
2009,Saskatchewan,Activité humaine,4922,334
2009,Saskatchewan,Foudre,37655,202
2009,Saskatchewan,Brûlage dirigé,1231,4
2009,Saskatchewan,Indéterminée,1,2
2010,Saskatchewan,Activité humaine,208262,233
2010,Saskatchewan,Foudre,1526789,345
2010,Saskatchewan,Brûlage dirigé,285,4
2011,Saskatchewan,Activité humaine,55506,241
2011,Saskatchewan,Foudre,288342,66
2011,Saskatchewan,Brûlage dirigé,240,1
2012,Saskatchewan,Activité humaine,6861,215
2012,Saskatchewan,Foudre,220914,204
2012,Saskatchewan,Brûlage dirigé,1180,7
2012,Saskatchewan,Indéterminée,1,2
2013,Saskatchewan,Activité humaine,12218,281
2013,Saskatchewan,Foudre,356635,160
2013,Saskatchewan,Brûlage dirigé,906,7
2013,Saskatchewan,Indéterminée,0,1
2014,Saskatchewan,Activité humaine,15530,209
2014,Saskatchewan,Foudre,327254,194
2014,Saskatchewan,Brûlage dirigé,2425,2
2015,Saskatchewan,Activité humaine,41757,344
2015,Saskatchewan,Foudre,1725597,384
2015,Saskatchewan,Brûlage dirigé,1673,7
2016,Saskatchewan,Activité humaine,2774,232
2016,Saskatchewan,Foudre,251991,171
2016,Saskatchewan,Brûlage dirigé,1025,4
2016,Saskatchewan,Indéterminée,0,1
2017,Saskatchewan,Activité humaine,451,195
2017,Saskatchewan,Foudre,398567,169
2017,Saskatchewan,Brûlage dirigé,780,4
2018,Saskatchewan,Activité humaine,47161,276
2018,Saskatchewan,Foudre,108916,170
2018,Saskatchewan,Brûlage dirigé,36656,5
2018,Saskatchewan,Indéterminée,0,1
2019,Saskatchewan,Activité humaine,1531,178
2019,Saskatchewan,Foudre,46622,73
2019,Saskatchewan,Indéterminée,0,7
2020,Saskatchewan,Activité humaine,41398,136
2020,Saskatchewan,Foudre,780,24
2020,Saskatchewan,Indéterminée,774,41
2021,Saskatchewan,Activité humaine,6822,256
2021,Saskatchewan,Foudre,949453,381
2021,Saskatchewan,Brûlage dirigé,128,3
2021,Saskatchewan,Indéterminée,1,2
2022,Saskatchewan,Activité humaine,13287,240
2022,Saskatchewan,Cause naturelle,252286,207
2022,Saskatchewan,Brûlage dirigé,40,1
2022,Saskatchewan,Indéterminée,0,2
2023,Saskatchewan,Indéterminée,1850829,462
2000,Yukon,Activité humaine,10,31
2000,Yukon,Foudre,7643,23
2000,Yukon,Indéterminée,363,1
2001,Yukon,Activité humaine,7,18
2001,Yukon,Foudre,17328,50
2002,Yukon,Activité humaine,23,39
2002,Yukon,Foudre,36181,31
2003,Yukon,Activité humaine,2940,48
2003,Yukon,Foudre,45845,29
2004,Yukon,Activité humaine,11631,33
2004,Yukon,Foudre,1708033,249
2005,Yukon,Activité humaine,2,26
2005,Yukon,Foudre,187437,57
2006,Yukon,Activité humaine,4,26
2006,Yukon,Foudre,95029,54
2007,Yukon,Activité humaine,13989,20
2007,Yukon,Foudre,24369,91
2008,Yukon,Activité humaine,12,27
2008,Yukon,Foudre,13056,49
2009,Yukon,Activité humaine,3,33
2009,Yukon,Foudre,230509,85
2010,Yukon,Activité humaine,5262,39
2010,Yukon,Foudre,141702,50
2011,Yukon,Activité humaine,120,16
2011,Yukon,Foudre,40344,40
2012,Yukon,Activité humaine,7,35
2012,Yukon,Foudre,58274,92
2013,Yukon,Activité humaine,6,21
2013,Yukon,Foudre,198307,156
2014,Yukon,Activité humaine,24,18
2014,Yukon,Foudre,3137,16
2015,Yukon,Activité humaine,42,24
2015,Yukon,Foudre,169801,162
2016,Yukon,Activité humaine,2,24
2016,Yukon,Foudre,21535,29
2017,Yukon,Activité humaine,19,22
2017,Yukon,Foudre,399261,93
2018,Yukon,Activité humaine,6487,18
2018,Yukon,Foudre,74098,33
2019,Yukon,Activité humaine,1331,33
2019,Yukon,Foudre,254735,85
2020,Yukon,Activité humaine,12,11
2020,Yukon,Foudre,3452,13
2021,Yukon,Activité humaine,23,15
2021,Yukon,Foudre,14252,98
2021,Yukon,Indéterminée,200,1
2022,Yukon,Brûlage dirigé,10,7
2022,Yukon,Indéterminée,170357,282
2023,Yukon,Indéterminée,373920,218
